post_id,user_id,platform,sentiment,content,hashtags,retweets,likes,country,timestamp,created_year,created_month,created_day,created_hour
144,user_138,Twitter,Positive,"Great customer support","#support #helpful",180,730,Australia,2024-03-23 09:30:00,2024,3,23,9
145,user_139,Instagram,Negative,"Difficult to clean","#hardtoclean #maintenance",15,32,USA,2024-03-23 13:45:00,2024,3,23,13
146,user_140,Facebook,Positive,"Multi-device compatible","#compatible #universal",200,820,UK,2024-03-24 11:15:00,2024,3,24,11
147,user_141,Twitter,Neutral,"Nothing to complain about","#fine",28,61,Canada,2024-03-24 15:30:00,2024,3,24,15
148,user_142,Instagram,Positive,"Fast processing","#fastprocessing #speed",145,590,Australia,2024-03-25 10:45:00,2024,3,25,10
149,user_143,Facebook,Negative,"Overheats quickly","#overheating #hot",21,44,USA,2024-03-25 14:15:00,2024,3,25,14
150,user_144,Twitter,Positive,"Great for beginners","#beginner #easy",165,670,UK,2024-03-26 09:00:00,2024,3,26,9
151,user_145,Instagram,Neutral,"Meets expectations","#metexpectations",32,70,Canada,2024-03-26 13:30:00,2024,3,26,13
152,user_146,Facebook,Positive,"Portable and light","#portable #light",130,530,Australia,2024-03-27 08:45:00,2024,3,27,8
153,user_147,Twitter,Negative,"Software issues","#softwareproblems #glitch",29,60,USA,2024-03-27 12:15:00,2024,3,27,12
154,user_148,Instagram,Positive,"High quality materials","#qualitymaterials #premium",290,1180,UK,2024-03-28 10:30:00,2024,3,28,10
155,user_149,Facebook,Neutral,"Standard performance","#standardperformance",31,67,Canada,2024-03-28 14:45:00,2024,3,28,14
156,user_150,Twitter,Positive,"Easy to carry","#portable #convenient",155,630,Australia,2024-03-29 09:20:00,2024,3,29,9
157,user_151,Instagram,Negative,"Too heavy","#heavy #weight",14,30,USA,2024-03-29 13:45:00,2024,3,29,13
158,user_152,Facebook,Positive,"Great for work","#work #productivity",220,890,UK,2024-03-30 11:00:00,2024,3,30,11
159,user_153,Twitter,Neutral,"Decent for the price","#valueformoney",35,74,Canada,2024-03-30 15:20:00,2024,3,30,15
160,user_154,Instagram,Positive,"Quick setup time","#fastsetup #easy",175,710,Australia,2024-03-31 10:15:00,2024,3,31,10
161,user_155,Facebook,Negative,"Unreliable","#unreliable #inconsistent",20,42,USA,2024-03-31 14:30:00,2024,3,31,14
162,user_156,Twitter,Positive,"Great design","#design #aesthetic",260,1050,UK,2024-04-01 09:45:00,2024,4,1,9
163,user_157,Instagram,Neutral,"Not bad","#notbad",27,59,Canada,2024-04-01 13:15:00,2024,4,1,13
164,user_158,Facebook,Positive,"Easy maintenance","#lowmaintenance #easy",140,570,Australia,2024-04-02 08:30:00,2024,4,2,8
165,user_159,Twitter,Negative,"Poor instructions","#confusinginstructions",18,37,USA,2024-04-02 12:45:00,2024,4,2,12
166,user_160,Instagram,Positive,"Bright colors","#vibrant #colors",230,930,UK,2024-04-03 10:00:00,2024,4,3,10
167,user_161,Facebook,Neutral,"Satisfactory","#satisfactory",33,71,Canada,2024-04-03 14:20:00,2024,4,3,14
168,user_162,Twitter,Positive,"Fast shipping","#shipping #fast",120,490,Australia,2024-04-04 09:15:00,2024,4,4,9
169,user_163,Instagram,Negative,"Not user friendly","#notuserfriendly #difficult",16,34,USA,2024-04-04 13:30:00,2024,4,4,13
170,user_164,Facebook,Positive,"Great value","#value #worthit",190,780,UK,2024-04-05 11:45:00,2024,4,5,11
171,user_165,Twitter,Neutral,"Average at best","#averagequality",30,66,Canada,2024-04-05 15:15:00,2024,4,5,15
172,user_166,Instagram,Positive,"Durable construction","#construction #strong",210,850,Australia,2024-04-06 10:30:00,2024,4,6,10
173,user_167,Facebook,Negative,"Too noisy","#noisy #disturbing",22,46,USA,2024-04-06 14:45:00,2024,4,6,14
174,user_168,Twitter,Positive,"Compact size","#compact #small",135,550,UK,2024-04-07 09:00:00,2024,4,7,9
175,user_169,Instagram,Neutral,"It's okay","#okay",25,54,Canada,2024-04-07 13:20:00,2024,4,7,13
176,user_170,Facebook,Positive,"Easy to use","#userfriendly #easy",160,650,Australia,2024-04-08 08:45:00,2024,4,8,8
177,user_171,Twitter,Negative,"Poor quality control","#qualitycontrol #defective",19,40,USA,2024-04-08 12:30:00,2024,4,8,12
178,user_172,Instagram,Positive,"Great features","#features #capabilities",280,1140,UK,2024-04-09 10:15:00,2024,4,9,10
179,user_173,Facebook,Neutral,"Nothing special","#ordinary",29,63,Canada,2024-04-09 14:35:00,2024,4,9,14
180,user_174,Twitter,Positive,"Quick response","#responsive #quick",125,510,Australia,2024-04-10 09:45:00,2024,4,10,9
181,user_175,Instagram,Negative,"Difficult setup","#difficultsetup #complicated",21,44,USA,2024-04-10 13:15:00,2024,4,10,13
182,user_176,Facebook,Positive,"Weatherproof","#weatherproof #outdoor",180,730,UK,2024-04-11 11:30:00,2024,4,11,11
183,user_177,Twitter,Neutral,"Standard product","#standard",31,68,Canada,2024-04-11 15:45:00,2024,4,11,15
184,user_178,Instagram,Positive,"Easy to clean","#clean #maintenance",150,610,Australia,2024-04-12 10:00:00,2024,4,12,10
185,user_179,Facebook,Negative,"Too bright","#bright #glare",17,36,USA,2024-04-12 14:20:00,2024,4,12,14
186,user_180,Twitter,Positive,"Great battery","#battery #longlasting",270,1100,UK,2024-04-13 09:30:00,2024,4,13,9
187,user_181,Instagram,Neutral,"Average performance","#average",28,61,Canada,2024-04-13 13:45:00,2024,4,13,13
188,user_182,Facebook,Positive,"Affordable","#affordable #cheap",110,450,Australia,2024-04-14 08:15:00,2024,4,14,8
189,user_183,Twitter,Negative,"Missing parts","#missing #incomplete",23,48,USA,2024-04-14 12:30:00,2024,4,14,12
190,user_184,Instagram,Positive,"Sleek design","#design #modern",240,980,UK,2024-04-15 10:45:00,2024,4,15,10
191,user_185,Facebook,Neutral,"Okay product","#okay",26,57,Canada,2024-04-15 14:15:00,2024,4,15,14
192,user_186,Twitter,Positive,"Fast charging","#fastcharge #quick",170,690,Australia,2024-04-16 09:20:00,2024,4,16,9
193,user_187,Instagram,Negative,"Uncomfortable","#uncomfortable #pain",15,32,USA,2024-04-16 13:40:00,2024,4,16,13
194,user_188,Facebook,Positive,"Great sound","#sound #audio",200,810,UK,2024-04-17 11:00:00,2024,4,17,11
195,user_189,Twitter,Neutral,"What I expected","#expected",32,70,Canada,2024-04-17 15:20:00,2024,4,17,15
196,user_190,Instagram,Positive,"Easy storage","#storage #compact",130,530,Australia,2024-04-18 10:30:00,2024,4,18,10
197,user_191,Facebook,Negative,"Software bugs","#bugs #glitches",24,50,USA,2024-04-18 14:45:00,2024,4,18,14
198,user_192,Twitter,Positive,"Bright display","#display #bright",250,1010,UK,2024-04-19 09:15:00,2024,4,19,9
199,user_193,Instagram,Neutral,"Fair quality","#fair",34,73,Canada,2024-04-19 13:30:00,2024,4,19,13
200,user_194,Facebook,Positive,"Water resistant","#waterproof #protection",160,650,Australia,2024-04-20 08:45:00,2024,4,20,8
201,user_195,Twitter,Negative,"Poor service","#badservice",28,58,USA,2024-04-20 12:15:00,2024,4,20,12
202,user_196,Instagram,Positive,"Family friendly","#family #kids",190,770,UK,2024-04-21 10:30:00,2024,4,21,10
203,user_197,Facebook,Neutral,"Middle ground","#middle",27,59,Canada,2024-04-21 14:45:00,2024,4,21,14
204,user_198,Twitter,Positive,"Adjustable","#adjustable #custom",220,890,Australia,2024-04-22 09:45:00,2024,4,22,9
205,user_199,Instagram,Negative,"Too bright","#glare #bright",18,38,USA,2024-04-22 13:15:00,2024,4,22,13
206,user_200,Facebook,Positive,"Smooth operation","#smooth #quiet",140,570,UK,2024-04-23 11:30:00,2024,4,23,11
207,user_201,Twitter,Neutral,"Decent","#decent",30,66,Canada,2024-04-23 15:00:00,2024,4,23,15
208,user_202,Instagram,Positive,"Color options","#colors #variety",180,730,Australia,2024-04-24 10:15:00,2024,4,24,10
209,user_203,Facebook,Negative,"Flimsy","#flimsy #weak",22,46,USA,2024-04-24 14:30:00,2024,4,24,14
210,user_204,Twitter,Positive,"High resolution","#resolution #quality",310,1260,UK,2024-04-25 09:00:00,2024,4,25,9
211,user_205,Instagram,Neutral,"Value for money","#value",33,72,Canada,2024-04-25 13:20:00,2024,4,25,13
212,user_206,Facebook,Positive,"Quick response","#fastresponse",125,510,Australia,2024-04-26 08:45:00,2024,4,26,8
213,user_207,Twitter,Negative,"Scratches easily","#delicate #scratches",19,40,USA,2024-04-26 12:30:00,2024,4,26,12
214,user_208,Instagram,Positive,"Outdoor use","#outdoor #durable",210,850,UK,2024-04-27 10:45:00,2024,4,27,10
215,user_209,Facebook,Neutral,"Acceptable","#acceptable",27,59,Canada,2024-04-27 14:15:00,2024,4,27,14
216,user_210,Twitter,Positive,"Easy to operate","#easy #simple",170,690,Australia,2024-04-28 09:30:00,2024,4,28,9
217,user_211,Instagram,Negative,"Complex","#complex #complicated",13,28,USA,2024-04-28 13:45:00,2024,4,28,13
218,user_212,Facebook,Positive,"Long battery","#battery #longlife",280,1140,UK,2024-04-29 11:00:00,2024,4,29,11
219,user_213,Twitter,Neutral,"Standard","#standard",31,68,Canada,2024-04-29 15:20:00,2024,4,29,15
220,user_214,Instagram,Positive,"Luxury feel","#luxury #premium",150,610,Australia,2024-04-30 10:30:00,2024,4,30,10
221,user_215,Facebook,Negative,"Incomplete","#incomplete #missing",25,52,USA,2024-04-30 14:45:00,2024,4,30,14
222,user_216,Twitter,Positive,"Smooth finish","#finish #smooth",240,980,UK,2024-05-01 09:15:00,2024,5,1,9
223,user_217,Instagram,Neutral,"Ordinary","#ordinary",29,63,Canada,2024-05-01 13:30:00,2024,5,1,13
224,user_218,Facebook,Positive,"Space saving","#compact #small",135,550,Australia,2024-05-02 08:45:00,2024,5,2,8
225,user_219,Twitter,Negative,"Poor packaging","#packaging #damaged",18,38,USA,2024-05-02 12:15:00,2024,5,2,12
226,user_220,Instagram,Positive,"Energy efficient","#efficient #green",190,770,UK,2024-05-03 10:30:00,2024,5,3,10
227,user_221,Facebook,Neutral,"Average","#average",34,73,Canada,2024-05-03 14:45:00,2024,5,3,14
228,user_222,Twitter,Positive,"Easy installation","#easyinstall",160,650,Australia,2024-05-04 09:20:00,2024,5,4,9
229,user_223,Instagram,Negative,"Expensive","#expensive",42,86,USA,2024-05-04 13:35:00,2024,5,4,13
230,user_224,Facebook,Positive,"Professional grade","#professional",320,1300,UK,2024-05-05 11:50:00,2024,5,5,11
231,user_225,Twitter,Neutral,"Alright","#alright",26,57,Canada,2024-05-05 15:15:00,2024,5,5,15
232,user_226,Instagram,Positive,"Fast delivery","#fastdelivery",115,470,Australia,2024-05-06 10:00:00,2024,5,6,10
233,user_227,Facebook,Negative,"Breaks easily","#fragile",23,48,USA,2024-05-06 14:20:00,2024,5,6,14
234,user_228,Twitter,Positive,"Stylish","#stylish",270,1090,UK,2024-05-07 09:45:00,2024,5,7,9
235,user_229,Instagram,Neutral,"Basic","#basic",30,65,Canada,2024-05-07 13:10:00,2024,5,7,13
236,user_230,Facebook,Positive,"Helpful support","#support",180,730,Australia,2024-05-08 08:30:00,2024,5,8,8
237,user_231,Twitter,Negative,"Hard to clean","#cleaning",15,32,USA,2024-05-08 12:45:00,2024,5,8,12
238,user_232,Instagram,Positive,"Compatible","#compatible",200,820,UK,2024-05-09 11:00:00,2024,5,9,11
239,user_233,Facebook,Neutral,"Fine","#fine",28,61,Canada,2024-05-09 15:25:00,2024,5,9,15
240,user_234,Twitter,Positive,"Fast processing","#fast",145,590,Australia,2024-05-10 10:40:00,2024,5,10,10
241,user_235,Instagram,Negative,"Overheats","#hot",21,44,USA,2024-05-10 14:05:00,2024,5,10,14
242,user_236,Facebook,Positive,"Beginner friendly","#beginner",165,670,UK,2024-05-11 09:20:00,2024,5,11,9
243,user_237,Twitter,Neutral,"Meets expectations","#expectations",32,70,Canada,2024-05-11 13:35:00,2024,5,11,13
244,user_238,Instagram,Positive,"Lightweight","#light",130,530,Australia,2024-05-12 08:50:00,2024,5,12,8
245,user_239,Facebook,Negative,"Software problems","#software",29,60,USA,2024-05-12 12:15:00,2024,5,12,12
246,user_240,Twitter,Positive,"Premium materials","#premium",290,1180,UK,2024-05-13 10:30:00,2024,5,13,10
247,user_241,Instagram,Neutral,"Standard","#standard",31,67,Canada,2024-05-13 14:45:00,2024,5,13,14
248,user_242,Facebook,Positive,"Portable","#portable",155,630,Australia,2024-05-14 09:00:00,2024,5,14,9
249,user_243,Twitter,Negative,"Heavy","#heavy",14,30,USA,2024-05-14 13:15:00,2024,5,14,13
250,user_244,Instagram,Positive,"Productive","#productivity",220,890,UK,2024-05-15 11:30:00,2024,5,15,11
251,user_245,Facebook,Neutral,"Good value","#value",35,74,Canada,2024-05-15 15:45:00,2024,5,15,15
252,user_246,Twitter,Positive,"Quick setup","#quick",175,710,Australia,2024-05-16 10:00:00,2024,5,16,10
253,user_247,Instagram,Negative,"Inconsistent","#inconsistent",20,42,USA,2024-05-16 14:20:00,2024,5,16,14
254,user_248,Facebook,Positive,"Aesthetic design","#aesthetic",260,1050,UK,2024-05-17 09:35:00,2024,5,17,9
255,user_249,Twitter,Neutral,"Not bad","#notbad",27,59,Canada,2024-05-17 13:50:00,2024,5,17,13
256,user_250,Instagram,Positive,"Low maintenance","#lowmaintenance",140,570,Australia,2024-05-18 08:15:00,2024,5,18,8
257,user_251,Facebook,Negative,"Confusing","#confusing",18,37,USA,2024-05-18 12:30:00,2024,5,18,12
258,user_252,Twitter,Positive,"Vibrant colors","#vibrant",230,930,UK,2024-05-19 10:45:00,2024,5,19,10
259,user_253,Instagram,Neutral,"Satisfactory","#satisfactory",33,71,Canada,2024-05-19 14:00:00,2024,5,19,14
260,user_254,Facebook,Positive,"Fast shipping","#fast",120,490,Australia,2024-05-20 09:15:00,2024,5,20,9
261,user_255,Twitter,Negative,"Not easy to use","#noteasy",16,34,USA,2024-05-20 13:30:00,2024,5,20,13
262,user_256,Instagram,Positive,"Worth it","#worthit",190,780,UK,2024-05-21 11:45:00,2024,5,21,11
263,user_257,Facebook,Neutral,"Average quality","#average",30,66,Canada,2024-05-21 15:10:00,2024,5,21,15
264,user_258,Twitter,Positive,"Strong construction","#strong",210,850,Australia,2024-05-22 10:25:00,2024,5,22,10
265,user_259,Instagram,Negative,"Noisy","#noisy",22,46,USA,2024-05-22 14:40:00,2024,5,22,14
266,user_260,Facebook,Positive,"Small size","#small",135,550,UK,2024-05-23 09:55:00,2024,5,23,9
267,user_261,Twitter,Neutral,"Okay","#okay",25,54,Canada,2024-05-23 13:10:00,2024,5,23,13
268,user_262,Instagram,Positive,"User friendly","#userfriendly",160,650,Australia,2024-05-24 08:25:00,2024,5,24,8
269,user_263,Facebook,Negative,"Defective","#defective",19,40,USA,2024-05-24 12:40:00,2024,5,24,12
270,user_264,Twitter,Positive,"Great capabilities","#capabilities",280,1140,UK,2024-05-25 10:55:00,2024,5,25,10
271,user_265,Instagram,Neutral,"Ordinary","#ordinary",29,63,Canada,2024-05-25 14:10:00,2024,5,25,14
272,user_266,Facebook,Positive,"Responsive","#responsive",125,510,Australia,2024-05-26 09:25:00,2024,5,26,9
273,user_267,Twitter,Negative,"Complicated setup","#complicated",21,44,USA,2024-05-26 13:40:00,2024,5,26,13
274,user_268,Instagram,Positive,"Outdoor durable","#outdoor",180,730,UK,2024-05-27 11:55:00,2024,5,27,11
275,user_269,Facebook,Neutral,"Standard","#standard",31,68,Canada,2024-05-27 15:10:00,2024,5,27,15
276,user_270,Twitter,Positive,"Easy maintenance","#maintenance",150,610,Australia,2024-05-28 10:25:00,2024,5,28,10
277,user_271,Instagram,Negative,"Glare","#glare",17,36,USA,2024-05-28 14:40:00,2024,5,28,14
278,user_272,Facebook,Positive,"Long lasting battery","#longlasting",270,1100,UK,2024-05-29 09:55:00,2024,5,29,9
279,user_273,Twitter,Neutral,"Average","#average",28,61,Canada,2024-05-29 13:10:00,2024,5,29,13
280,user_274,Instagram,Positive,"Cheap","#cheap",110,450,Australia,2024-05-30 08:25:00,2024,5,30,8
281,user_275,Facebook,Negative,"Missing","#missing",23,48,USA,2024-05-30 12:40:00,2024,5,30,12
282,user_276,Twitter,Positive,"Modern design","#modern",240,980,UK,2024-05-31 10:55:00,2024,5,31,10
283,user_277,Instagram,Neutral,"Okay product","#okay",26,57,Canada,2024-05-31 14:10:00,2024,5,31,14
284,user_278,Facebook,Positive,"Quick charge","#quick",170,690,Australia,2024-06-01 09:25:00,2024,6,1,9
285,user_279,Twitter,Negative,"Painful to use","#pain",15,32,USA,2024-06-01 13:40:00,2024,6,1,13
286,user_280,Instagram,Positive,"Great audio","#audio",200,810,UK,2024-06-02 11:55:00,2024,6,2,11
287,user_281,Facebook,Neutral,"Expected","#expected",32,70,Canada,2024-06-02 15:10:00,2024,6,2,15
288,user_282,Twitter,Positive,"Compact storage","#storage",130,530,Australia,2024-06-03 10:25:00,2024,6,3,10
289,user_283,Instagram,Negative,"Glitches","#glitches",24,50,USA,2024-06-03 14:40:00,2024,6,3,14
290,user_284,Facebook,Positive,"Bright","#bright",250,1010,UK,2024-06-04 09:55:00,2024,6,4,9
291,user_285,Twitter,Neutral,"Fair","#fair",34,73,Canada,2024-06-04 13:10:00,2024,6,4,13
292,user_286,Instagram,Positive,"Waterproof","#waterproof",160,650,Australia,2024-06-05 08:25:00,2024,6,5,8
293,user_287,Facebook,Negative,"Bad service","#badservice",28,58,USA,2024-06-05 12:40:00,2024,6,5,12
294,user_288,Twitter,Positive,"Kid friendly","#kidfriendly",190,770,UK,2024-06-06 10:55:00,2024,6,6,10
295,user_289,Instagram,Neutral,"Middle","#middle",27,59,Canada,2024-06-06 14:10:00,2024,6,6,14
296,user_290,Facebook,Positive,"Customizable","#customizable",220,890,Australia,2024-06-07 09:25:00,2024,6,7,9
297,user_291,Twitter,Negative,"Glare issue","#glare",18,38,USA,2024-06-07 13:40:00,2024,6,7,13
298,user_292,Instagram,Positive,"Quiet operation","#quiet",140,570,UK,2024-06-08 11:55:00,2024,6,8,11
299,user_293,Facebook,Neutral,"Decent product","#decent",30,66,Canada,2024-06-08 15:10:00,2024,6,8,15
300,user_294,Twitter,Positive,"Color variety","#variety",180,730,Australia,2024-06-09 10:25:00,2024,6,9,10